sourceChromosome,sourceStart,sourceEnd,targetChromosome,targetStart,targetEnd,type,value
"1",23101,23102,"1",23301,23302,L,100
"1",23101,23102,"1",23401,23402,L,100
"1",20801,20802,"1",23501,23502,L,100
"1",23501,23502,"1",23601,23602,L,100
"1",23601,23602,"1",23701,23702,L,100
"1",23601,23602,"1",23801,23802,L,100
"1",23601,23602,"1",23901,23902,L,100
"1",23501,23502,"1",24001,24002,L,100
"1",24001,24002,"1",24101,24102,L,100
"1",24001,24002,"1",24201,24202,L,100
"1",24001,24002,"1",24301,24302,L,100
"1",23501,23502,"1",24401,24402,L,100
"1",24401,24402,"1",24501,24502,L,100
"1",24401,24402,"1",24601,24602,L,100
"1",24401,24402,"1",24701,24702,L,100
"1",501,502,"1",24801,24802,L,100
"1",24801,24802,"1",24901,24902,L,100
"1",24901,24902,"1",25001,25002,L,100
"1",25001,25002,"1",25101,25102,L,100
"1",25101,25102,"1",25201,25202,L,100
"1",25101,25102,"1",25301,25302,L,100
"1",25101,25102,"1",25401,25402,L,100
"1",25001,25002,"1",25501,25502,L,100
"1",25501,25502,"1",25601,25602,L,100
"1",25501,25502,"1",25701,25702,L,100
"1",25501,25502,"1",25801,25802,L,100
"1",25001,25002,"1",25901,25902,L,100
"1",25901,25902,"1",26001,26002,L,100
"1",25901,25902,"1",26101,26102,L,100
"1",25901,25902,"1",26201,26202,L,100
"1",24901,24902,"1",26301,26302,L,100
"1",26301,26302,"1",26401,26402,L,100
"1",26401,26402,"1",26501,26502,L,100
"1",26401,26402,"1",26601,26602,L,100
"1",26401,26402,"1",26701,26702,L,100
"1",26301,26302,"1",26801,26802,L,100
"1",26801,26802,"1",26901,26902,L,100
"1",26801,26802,"1",27001,27002,L,100
"1",26801,26802,"1",27101,27102,L,100
"1",26301,26302,"1",27201,27202,L,100
"1",27201,27202,"1",27301,27302,L,100
"1",27201,27202,"1",27401,27402,L,100
"1",27201,27202,"1",27501,27502,L,100
"1",24901,24902,"1",27601,27602,L,100
"1",27601,27602,"1",27701,27702,L,100
"1",27701,27702,"1",27801,27802,L,100
"1",27701,27702,"1",27901,27902,L,100
"1",27701,27702,"1",28001,28002,L,100
"1",27601,27602,"1",28101,28102,L,100
"1",28101,28102,"1",28201,28202,L,100
"1",28101,28102,"1",28301,28302,L,100
"1",28101,28102,"1",28401,28402,L,100
"1",27601,27602,"1",28501,28502,L,100
"1",28501,28502,"1",28601,28602,L,100
"1",28501,28502,"1",28701,28702,L,100
"1",28501,28502,"1",28801,28802,L,100
"1",24801,24802,"1",28901,28902,L,100
"1",28901,28902,"1",29001,29002,L,100
"1",29001,29002,"1",29101,29102,L,100
"1",29101,29102,"1",29201,29202,L,100
"1",29101,29102,"1",29301,29302,L,100
"1",29101,29102,"1",29401,29402,L,100
"1",29001,29002,"1",29501,29502,L,100
"1",29501,29502,"1",29601,29602,L,100
"1",29501,29502,"1",29701,29702,L,100
"1",29501,29502,"1",29801,29802,L,100
"1",29001,29002,"1",29901,29902,L,100
"1",29901,29902,"1",30001,30002,L,100
"1",29901,29902,"1",30101,30102,L,100
"1",29901,29902,"1",30201,30202,L,100
"1",28901,28902,"1",30301,30302,L,100
"1",30301,30302,"1",30401,30402,L,100
"1",30401,30402,"1",30501,30502,L,100
"1",30401,30402,"1",30601,30602,L,100
"1",30401,30402,"1",30701,30702,L,100
"1",30301,30302,"1",30801,30802,L,100
"1",30801,30802,"1",30901,30902,L,100
"1",30801,30802,"1",31001,31002,L,100
"1",30801,30802,"1",31101,31102,L,100
"1",30301,30302,"1",31201,31202,L,100
"1",31201,31202,"1",31301,31302,L,100
"1",31201,31202,"1",31401,31402,L,100
"1",31201,31202,"1",31501,31502,L,100
"1",28901,28902,"1",31601,31602,L,100
"1",31601,31602,"1",31701,31702,L,100
"1",31701,31702,"1",31801,31802,L,100
"1",31701,31702,"1",31901,31902,L,100
"1",31701,31702,"1",32001,32002,L,100
"1",31601,31602,"1",32101,32102,L,100
"1",32101,32102,"1",32201,32202,L,100
"1",32101,32102,"1",32301,32302,L,100
"1",32101,32102,"1",32401,32402,L,100
"1",31601,31602,"1",32501,32502,L,100
"1",32501,32502,"1",32601,32602,L,100
"1",32501,32502,"1",32701,32702,L,100
"1",32501,32502,"1",32801,32802,L,100
"1",24801,24802,"1",32901,32902,L,100
"1",32901,32902,"1",33001,33002,L,100
"1",33001,33002,"1",33101,33102,L,100
"1",33101,33102,"1",33201,33202,L,100
"1",33101,33102,"1",33301,33302,L,100
"1",33101,33102,"1",33401,33402,L,100
"1",33001,33002,"1",33501,33502,L,100
"1",33501,33502,"1",33601,33602,L,100
"1",33501,33502,"1",33701,33702,L,100
"1",33501,33502,"1",33801,33802,L,100
"1",33001,33002,"1",33901,33902,L,100
"1",33901,33902,"1",34001,34002,L,100
"1",33901,33902,"1",34101,34102,L,100
"1",33901,33902,"1",34201,34202,L,100
"1",32901,32902,"1",34301,34302,L,100
"1",34301,34302,"1",34401,34402,L,100
"1",34401,34402,"1",34501,34502,L,100
"1",34401,34402,"1",34601,34602,L,100
"1",34401,34402,"1",34701,34702,L,100
"1",34301,34302,"1",34801,34802,L,100
"1",34801,34802,"1",34901,34902,L,100
"1",34801,34802,"1",35001,35002,L,100
"1",34801,34802,"1",35101,35102,L,100
"1",34301,34302,"1",35201,35202,L,100
"1",35201,35202,"1",35301,35302,L,100
"1",35201,35202,"1",35401,35402,L,100
"1",35201,35202,"1",35501,35502,L,100
"1",32901,32902,"1",35601,35602,L,100
"1",35601,35602,"1",35701,35702,L,100
"1",35701,35702,"1",35801,35802,L,100
"1",35701,35702,"1",35901,35902,L,100
"1",35701,35702,"1",36001,36002,L,100
"1",35601,35602,"1",36101,36102,L,100
"1",36101,36102,"1",36201,36202,L,100
"1",36101,36102,"1",36301,36302,L,100
"1",36101,36102,"1",36401,36402,L,100
"1",35601,35602,"1",36501,36502,L,100
"1",36501,36502,"1",36601,36602,L,100
"1",36501,36502,"1",36701,36702,L,100
"1",36501,36502,"1",36801,36802,L,100
"1",401,402,"1",36901,36902,L,100
"1",36901,36902,"1",37001,37002,L,100
"1",37001,37002,"1",37101,37102,L,100
"1",37101,37102,"1",37201,37202,L,100
"1",37201,37202,"1",37301,37302,L,100
"1",37301,37302,"1",37401,37402,L,100
"1",37301,37302,"1",37501,37502,L,100
"1",37301,37302,"1",37601,37602,L,100
"1",37201,37202,"1",37701,37702,L,100
"1",37701,37702,"1",37801,37802,L,100
"1",37701,37702,"1",37901,37902,L,100
"1",37701,37702,"1",38001,38002,L,100
"1",37201,37202,"1",38101,38102,L,100
"1",38101,38102,"1",38201,38202,L,100
"1",38101,38102,"1",38301,38302,L,100
"1",38101,38102,"1",38401,38402,L,100
"1",37101,37102,"1",38501,38502,L,100
"1",38501,38502,"1",38601,38602,L,100
"1",38601,38602,"1",38701,38702,L,100
"1",38601,38602,"1",38801,38802,L,100
"1",38601,38602,"1",38901,38902,L,100
"1",38501,38502,"1",39001,39002,L,100
"1",39001,39002,"1",39101,39102,L,100
"1",39001,39002,"1",39201,39202,L,100
"1",39001,39002,"1",39301,39302,L,100
"1",38501,38502,"1",39401,39402,L,100
"1",39401,39402,"1",39501,39502,L,100
"1",39401,39402,"1",39601,39602,L,100
"1",39401,39402,"1",39701,39702,L,100
"1",37101,37102,"1",39801,39802,L,100
"1",39801,39802,"1",39901,39902,L,100
"1",39901,39902,"1",40001,40002,L,100
"1",39901,39902,"1",40101,40102,L,100
"1",39901,39902,"1",40201,40202,L,100
"1",39801,39802,"1",40301,40302,L,100
"1",40301,40302,"1",40401,40402,L,100
"1",40301,40302,"1",40501,40502,L,100
"1",40301,40302,"1",40601,40602,L,100
"1",39801,39802,"1",40701,40702,L,100
"1",40701,40702,"1",40801,40802,L,100
"1",40701,40702,"1",40901,40902,L,100
"1",40701,40702,"1",41001,41002,L,100
"1",37001,37002,"1",41101,41102,L,100
"1",41101,41102,"1",41201,41202,L,100
"1",41201,41202,"1",41301,41302,L,100
"1",41301,41302,"1",41401,41402,L,100
"1",41301,41302,"1",41501,41502,L,100
"1",41301,41302,"1",41601,41602,L,100
"1",41201,41202,"1",41701,41702,L,100
"1",41701,41702,"1",41801,41802,L,100
"1",41701,41702,"1",41901,41902,L,100
"1",41701,41702,"1",42001,42002,L,100
"1",41201,41202,"1",42101,42102,L,100
"1",42101,42102,"1",42201,42202,L,100
"1",42101,42102,"1",42301,42302,L,100
"1",42101,42102,"1",42401,42402,L,100
"1",41101,41102,"1",42501,42502,L,100
"1",42501,42502,"1",42601,42602,L,100
"1",42601,42602,"1",42701,42702,L,100
"1",42601,42602,"1",42801,42802,L,100
"1",42601,42602,"1",42901,42902,L,100
"1",42501,42502,"1",43001,43002,L,100
"1",43001,43002,"1",43101,43102,L,100
"1",43001,43002,"1",43201,43202,L,100
"1",43001,43002,"1",43301,43302,L,100
"1",42501,42502,"1",43401,43402,L,100
"1",43401,43402,"1",43501,43502,L,100
"1",43401,43402,"1",43601,43602,L,100
"1",43401,43402,"1",43701,43702,L,100
"1",41101,41102,"1",43801,43802,L,100
"1",43801,43802,"1",43901,43902,L,100
"1",43901,43902,"1",44001,44002,L,100
"1",43901,43902,"1",44101,44102,L,100
"1",43901,43902,"1",44201,44202,L,100
"1",43801,43802,"1",44301,44302,L,100
"1",44301,44302,"1",44401,44402,L,100
"1",44301,44302,"1",44501,44502,L,100
"1",44301,44302,"1",44601,44602,L,100
"1",43801,43802,"1",44701,44702,L,100
"1",44701,44702,"1",44801,44802,L,100
"1",44701,44702,"1",44901,44902,L,100
"1",44701,44702,"1",45001,45002,L,100
"1",37001,37002,"1",45101,45102,L,100
"1",45101,45102,"1",45201,45202,L,100
"1",45201,45202,"1",45301,45302,L,100
"1",45301,45302,"1",45401,45402,L,100
"1",45301,45302,"1",45501,45502,L,100
"1",45301,45302,"1",45601,45602,L,100
"1",45201,45202,"1",45701,45702,L,100
"1",45701,45702,"1",45801,45802,L,100
"1",45701,45702,"1",45901,45902,L,100
"1",45701,45702,"1",46001,46002,L,100
"1",45201,45202,"1",46101,46102,L,100
"1",46101,46102,"1",46201,46202,L,100
"1",46101,46102,"1",46301,46302,L,100
"1",46101,46102,"1",46401,46402,L,100
"1",45101,45102,"1",46501,46502,L,100
"1",46501,46502,"1",46601,46602,L,100
"1",46601,46602,"1",46701,46702,L,100
"1",46601,46602,"1",46801,46802,L,100
"1",46601,46602,"1",46901,46902,L,100
"1",46501,46502,"1",47001,47002,L,100
"1",47001,47002,"1",47101,47102,L,100
"1",47001,47002,"1",47201,47202,L,100
"1",47001,47002,"1",47301,47302,L,100
"1",46501,46502,"1",47401,47402,L,100
"1",47401,47402,"1",47501,47502,L,100
"1",47401,47402,"1",47601,47602,L,100
"1",47401,47402,"1",47701,47702,L,100
"1",45101,45102,"1",47801,47802,L,100
"1",47801,47802,"1",47901,47902,L,100
"1",47901,47902,"1",48001,48002,L,100
"1",47901,47902,"1",48101,48102,L,100
"1",47901,47902,"1",48201,48202,L,100
"1",47801,47802,"1",48301,48302,L,100
"1",48301,48302,"1",48401,48402,L,100
"1",48301,48302,"1",48501,48502,L,100
"1",48301,48302,"1",48601,48602,L,100
"1",47801,47802,"1",48701,48702,L,100
"1",48701,48702,"1",48801,48802,L,100
"1",48701,48702,"1",48901,48902,L,100
"1",48701,48702,"1",49001,49002,L,100
"1",36901,36902,"1",49101,49102,L,100
"1",49101,49102,"1",49201,49202,L,100
"1",49201,49202,"1",49301,49302,L,100
"1",49301,49302,"1",49401,49402,L,100
"1",49401,49402,"1",49501,49502,L,100
"1",49401,49402,"1",49601,49602,L,100
"1",49401,49402,"1",49701,49702,L,100
"1",49301,49302,"1",49801,49802,L,100
"1",49801,49802,"1",49901,49902,L,100
"1",49801,49802,"1",50001,50002,L,100
"1",49801,49802,"1",50101,50102,L,100
"1",49301,49302,"1",50201,50202,L,100
"1",50201,50202,"1",50301,50302,L,100
"1",50201,50202,"1",50401,50402,L,100
"1",50201,50202,"1",50501,50502,L,100
"1",49201,49202,"1",50601,50602,L,100
"1",50601,50602,"1",50701,50702,L,100
"1",50701,50702,"1",50801,50802,L,100
"1",50701,50702,"1",50901,50902,L,100
"1",50701,50702,"1",51001,51002,L,100
"1",50601,50602,"1",51101,51102,L,100
"1",51101,51102,"1",51201,51202,L,100
"1",51101,51102,"1",51301,51302,L,100
"1",51101,51102,"1",51401,51402,L,100
"1",50601,50602,"1",51501,51502,L,100
"1",51501,51502,"1",51601,51602,L,100
"1",51501,51502,"1",51701,51702,L,100
"1",51501,51502,"1",51801,51802,L,100
"1",49201,49202,"1",51901,51902,L,100
"1",51901,51902,"1",52001,52002,L,100
"1",52001,52002,"1",52101,52102,L,100
"1",52001,52002,"1",52201,52202,L,100
"1",52001,52002,"1",52301,52302,L,100
"1",51901,51902,"1",52401,52402,L,100
"1",52401,52402,"1",52501,52502,L,100
"1",52401,52402,"1",52601,52602,L,100
"1",52401,52402,"1",52701,52702,L,100
"1",51901,51902,"1",52801,52802,L,100
"1",52801,52802,"1",52901,52902,L,100
"1",52801,52802,"1",53001,53002,L,100
"1",52801,52802,"1",53101,53102,L,100
"1",49101,49102,"1",53201,53202,L,100
"1",53201,53202,"1",53301,53302,L,100
"1",53301,53302,"1",53401,53402,L,100
"1",53401,53402,"1",53501,53502,L,100
"1",53401,53402,"1",53601,53602,L,100
"1",53401,53402,"1",53701,53702,L,100
"1",53301,53302,"1",53801,53802,L,100
"1",53801,53802,"1",53901,53902,L,100
"1",53801,53802,"1",54001,54002,L,100
"1",53801,53802,"1",54101,54102,L,100
"1",53301,53302,"1",54201,54202,L,100
"1",54201,54202,"1",54301,54302,L,100
"1",54201,54202,"1",54401,54402,L,100
"1",54201,54202,"1",54501,54502,L,100
"1",53201,53202,"1",54601,54602,L,100
"1",54601,54602,"1",54701,54702,L,100
"1",54701,54702,"1",54801,54802,L,100
"1",54701,54702,"1",54901,54902,L,100
"1",54701,54702,"1",55001,55002,L,100
"1",54601,54602,"1",55101,55102,L,100
"1",55101,55102,"1",55201,55202,L,100
"1",55101,55102,"1",55301,55302,L,100
"1",55101,55102,"1",55401,55402,L,100
"1",54601,54602,"1",55501,55502,L,100
"1",55501,55502,"1",55601,55602,L,100
"1",55501,55502,"1",55701,55702,L,100
"1",55501,55502,"1",55801,55802,L,100
"1",53201,53202,"1",55901,55902,L,100
"1",55901,55902,"1",56001,56002,L,100
"1",56001,56002,"1",56101,56102,L,100
"1",56001,56002,"1",56201,56202,L,100
"1",56001,56002,"1",56301,56302,L,100
"1",55901,55902,"1",56401,56402,L,100
"1",56401,56402,"1",56501,56502,L,100
"1",56401,56402,"1",56601,56602,L,100
"1",56401,56402,"1",56701,56702,L,100
"1",55901,55902,"1",56801,56802,L,100
"1",56801,56802,"1",56901,56902,L,100
"1",56801,56802,"1",57001,57002,L,100
"1",56801,56802,"1",57101,57102,L,100
"1",49101,49102,"1",57201,57202,L,100
"1",57201,57202,"1",57301,57302,L,100
"1",57301,57302,"1",57401,57402,L,100
"1",57401,57402,"1",57501,57502,L,100
"1",57401,57402,"1",57601,57602,L,100
"1",57401,57402,"1",57701,57702,L,100
"1",57301,57302,"1",57801,57802,L,100
"1",57801,57802,"1",57901,57902,L,100
"1",57801,57802,"1",58001,58002,L,100
"1",57801,57802,"1",58101,58102,L,100
"1",57301,57302,"1",58201,58202,L,100
"1",58201,58202,"1",58301,58302,L,100
"1",58201,58202,"1",58401,58402,L,100
"1",58201,58202,"1",58501,58502,L,100
"1",57201,57202,"1",58601,58602,L,100
"1",58601,58602,"1",58701,58702,L,100
"1",58701,58702,"1",58801,58802,L,100
"1",58701,58702,"1",58901,58902,L,100
"1",58701,58702,"1",59001,59002,L,100
"1",58601,58602,"1",59101,59102,L,100
"1",59101,59102,"1",59201,59202,L,100
"1",59101,59102,"1",59301,59302,L,100
"1",59101,59102,"1",59401,59402,L,100
"1",58601,58602,"1",59501,59502,L,100
"1",59501,59502,"1",59601,59602,L,100
"1",59501,59502,"1",59701,59702,L,100
"1",59501,59502,"1",59801,59802,L,100
"1",57201,57202,"1",59901,59902,L,100
"1",59901,59902,"1",60001,60002,L,100
"1",60001,60002,"1",60101,60102,L,100
"1",60001,60002,"1",60201,60202,L,100
"1",60001,60002,"1",60301,60302,L,100
"1",59901,59902,"1",60401,60402,L,100
"1",60401,60402,"1",60501,60502,L,100
"1",60401,60402,"1",60601,60602,L,100
"1",60401,60402,"1",60701,60702,L,100
"1",59901,59902,"1",60801,60802,L,100
"1",60801,60802,"1",60901,60902,L,100
"1",60801,60802,"1",61001,61002,L,100
"1",60801,60802,"1",61101,61102,L,100
"1",36901,36902,"1",61201,61202,L,100
"1",61201,61202,"1",61301,61302,L,100
"1",61301,61302,"1",61401,61402,L,100
"1",61401,61402,"1",61501,61502,L,100
"1",61501,61502,"1",61601,61602,L,100
"1",61501,61502,"1",61701,61702,L,100
"1",61501,61502,"1",61801,61802,L,100
"1",61401,61402,"1",61901,61902,L,100
"1",61901,61902,"1",62001,62002,L,100
"1",61901,61902,"1",62101,62102,L,100
"1",61901,61902,"1",62201,62202,L,100
"1",61401,61402,"1",62301,62302,L,100
"1",62301,62302,"1",62401,62402,L,100
"1",62301,62302,"1",62501,62502,L,100
"1",62301,62302,"1",62601,62602,L,100
"1",61301,61302,"1",62701,62702,L,100
"1",62701,62702,"1",62801,62802,L,100
"1",62801,62802,"1",62901,62902,L,100
"1",62801,62802,"1",63001,63002,L,100
"1",62801,62802,"1",63101,63102,L,100
"1",62701,62702,"1",63201,63202,L,100
"1",63201,63202,"1",63301,63302,L,100
"1",63201,63202,"1",63401,63402,L,100
"1",63201,63202,"1",63501,63502,L,100
